customerID,name,surname,phone,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn,num_complaints,churn_risk_score,risk_level,last_contacted,complaints,Suggested_Offer
7590-VHVEG,Pierluigi,Treves,390423847483,1,0,1,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,29.85,29.85,False,False,False,False,False,True,False,0,0,70,high,25,[],Deploy a personal follow-up; Assign premium customer support; Offer advantageous longer-contract deals to encourage commitment; Advertise benefits of credit card payments - offer recharge deals when paying by card
5575-GNVDE,Mauro,Lattuada,3907348178595,0,0,0,0,34,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0,56.95,1889.5,False,False,True,False,False,False,True,0,0,7,low,7,[],Low risk – no action needed
3668-QPYBK,Nedda,Villarosa,390375352945,0,0,0,0,2,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1,53.85,108.15,False,False,False,False,False,False,True,1,0,58,moderate,16,[],Low risk – no action needed
7795-CFOCW,Iolanda,Corcos,39347618771,0,0,0,0,45,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0,42.3,1840.75,False,False,True,False,False,False,False,0,0,8,low,5,[],Low risk – no action needed
9237-HQITU,Patrizia,Galeati,390523610159,1,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,70.7,151.65,True,False,False,False,False,True,False,1,0,85,high,8,[],Deploy a personal follow-up; Assign premium customer support; Offer advantageous longer-contract deals to encourage commitment; Advertise benefits of credit card payments - offer recharge deals when paying by card; Provide directed customer service for fiber optic specific problems; Offer a free trial of tech support
9305-CDSKC,Bettina,Fieramosca,230053296,1,0,0,0,8,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1,99.65,820.5,True,False,False,False,False,True,False,1,0,90,high,25,[],Provide cumulative discounts to reward commitment; Offer advantageous longer-contract deals to encourage commitment; Offer loyalty or multi-service discount; Advertise benefits of credit card payments - offer recharge deals when paying by card; Provide directed customer service for fiber optic specific problems; Offer a free trial of tech support
1452-KIOVK,Elisa,Ficino,352050874,0,0,0,1,22,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1,89.1,1949.4,True,False,False,False,True,False,False,0,0,57,moderate,7,[],Low risk – no action needed
6713-OKOMC,Greco,Mercantini,34680676114,1,0,0,0,10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,29.75,301.9,False,False,False,False,False,False,True,0,0,28,low,21,[],Low risk – no action needed
7892-POOKP,Vincenzo,Baroffio,390574278876,1,0,1,0,28,1,1,0.0,0.0,1.0,1.0,1.0,1.0,1,104.8,3046.05,True,False,False,False,False,True,False,1,0,69,high,17,[],Low risk – no action needed
6388-TABGU,Valentina,Marrone,390362739769,0,0,0,1,62,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0,56.15,3487.95,False,False,True,False,False,False,False,0,0,7,low,11,[],Low risk – no action needed
